what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.j2ee.web,1.1.301.v200911302230,"org.eclipse.jst.j2ee.web",1272466676519
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.301.v201001252130,"org.eclipse.jst.j2ee.ejb",1272466676580
started,bundle,org.eclipse.jst.common.frameworks,1.1.301.v201001252130,"org.eclipse.jst.common.frameworks",1272466676585
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v2010012803,"org.eclipse.wst.jsdt.core",1272466676983
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.201.v201001221931,"org.eclipse.wst.jsdt.web.core",1272466677003
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1272466677209
started,bundle,org.eclipse.wst.internet.cache,1.0.301.v200805140020,"org.eclipse.wst.internet.cache",1272466677307
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1272466698901
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1272466699035
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272466699068
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1272466709520
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272466973825
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272468415939
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272468815325
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272468875523
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272470069560
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272470071514
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272470071586
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272470248112
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.shiftRight",1272470307995
started,bundle,org.eclipse.wst.server.core,1.1.102.v20100123,"org.eclipse.wst.server.core",1272470311919
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui",1272470311934
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272470314712
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272470315790
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272470316577
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272470319631
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272470343178
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1272470343688
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272470696034
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272470704735
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272470728237
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272470863036
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272470868019
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272472450251
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272474016654
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272474095026
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272474100570
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272474106597
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272474159271
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272474293280
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272474294381
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272475918182
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272476474460
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272476493627
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272476499929
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272476500480
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272476503541
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272476505076
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272478811322
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272479731977
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272482924869
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272482931389
